Source;Target
CHINA;Diagnostico e Protecao Fitossanitaria
PAKISTAN;Robotica e Mecanizacao
KOREA;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
UGANDA;Assistencia Virtual e Educacao
SPAIN;Assistencia Virtual e Educacao
Nao Informado;Ruido
KOREA;Mercado Risco e Previsao
USA;Assistencia Virtual e Educacao
INDIA;Visao Computacional e Fenotipagem
PHILIPPINES;IoT e Sensores
ITALY;Assistencia Virtual e Educacao
BRAZIL;Diagnostico e Protecao Fitossanitaria
MALAYSIA;Assistencia Virtual e Educacao
BRAZIL;Assistencia Virtual e Educacao
AUSTRIA;Robotica e Mecanizacao
FRANCE;Assistencia Virtual e Educacao
GREECE;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
ENGLAND;Assistencia Virtual e Educacao
PORTUGAL;Governanca, Gestao e Impacto Social
USA;Assistencia Virtual e Educacao
USA;Mercado Risco e Previsao
CHINA;Assistencia Virtual e Educacao
INDIA;Assistencia Virtual e Educacao
GREECE;Assistencia Virtual e Educacao
BRAZIL;Cadeia Produtiva e Qualidade
USA;Visao Computacional e Fenotipagem
FRANCE;Clima, Solo e Meio Ambiente
INDIA;Assistencia Virtual e Educacao
INDONESIA;Cadeia Produtiva e Qualidade
ARABIA;Assistencia Virtual e Educacao
INDIA;Diagnostico e Protecao Fitossanitaria
INDIA;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
INDIA;Assistencia Virtual e Educacao
CHINA;IA: Arquiteturas e Metodos
GERMANY;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
ENGLAND;Assistencia Virtual e Educacao
MEXICO;Diagnostico e Protecao Fitossanitaria
KOREA;Governanca, Gestao e Impacto Social
ROMANIA;Clima, Solo e Meio Ambiente
INDIA;Assistencia Virtual e Educacao
CHINA;Governanca, Gestao e Impacto Social
IRAN;Assistencia Virtual e Educacao
POLAND;Assistencia Virtual e Educacao
USA;Governanca, Gestao e Impacto Social
CHINA;Clima, Solo e Meio Ambiente
CHINA;Visao Computacional e Fenotipagem
ENGLAND;Mercado Risco e Previsao
CHINA;Diagnostico e Protecao Fitossanitaria
BRAZIL;Diagnostico e Protecao Fitossanitaria
CHINA;Cadeia Produtiva e Qualidade
POLAND;Assistencia Virtual e Educacao
SENEGAL;Mercado Risco e Previsao
INDIA;Assistencia Virtual e Educacao
COLOMBIA;Robotica e Mecanizacao
THAILAND;Visao Computacional e Fenotipagem
BRAZIL;Assistencia Virtual e Educacao
COLOMBIA;Assistencia Virtual e Educacao
CHINA;Visao Computacional e Fenotipagem
INDIA;Ruido
POLAND;Assistencia Virtual e Educacao
INDIA;Assistencia Virtual e Educacao
USA;Clima, Solo e Meio Ambiente
TURKIYE;Cadeia Produtiva e Qualidade
INDIA;Diagnostico e Protecao Fitossanitaria
USA;Assistencia Virtual e Educacao
SPAIN;Mercado Risco e Previsao
USA;Mercado Risco e Previsao
CHINA;Diagnostico e Protecao Fitossanitaria
BANGLADESH;Assistencia Virtual e Educacao
JORDAN;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
INDIA;Assistencia Virtual e Educacao
TURKIYE;Assistencia Virtual e Educacao
CHINA;Mercado Risco e Previsao
USA;Assistencia Virtual e Educacao
INDIA;Assistencia Virtual e Educacao
USA;Assistencia Virtual e Educacao
ITALY;Assistencia Virtual e Educacao
USA;Robotica e Mecanizacao
USA;IoT e Sensores
EMIRATES;Assistencia Virtual e Educacao
AUSTRIA;Visao Computacional e Fenotipagem
USA;Assistencia Virtual e Educacao
USA;Assistencia Virtual e Educacao
TURKIYE;Assistencia Virtual e Educacao
SERBIA;Assistencia Virtual e Educacao
CHINA;Mercado Risco e Previsao
INDIA;Assistencia Virtual e Educacao
CHINA;Visao Computacional e Fenotipagem
MALAYSIA;Cadeia Produtiva e Qualidade
TURKEY;Recursos Hidricos
ENGLAND;Ruido
ARABIA;Assistencia Virtual e Educacao
CHINA;Diagnostico e Protecao Fitossanitaria
MOROCCO;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
KOREA;Assistencia Virtual e Educacao
MEXICO;Mercado Risco e Previsao
CANADA;Cadeia Produtiva e Qualidade
USA;Diagnostico e Protecao Fitossanitaria
BULGARIA;Diagnostico e Protecao Fitossanitaria
SPAIN;Visao Computacional e Fenotipagem
COLOMBIA;Assistencia Virtual e Educacao
CHINA;Governanca, Gestao e Impacto Social
RUSSIA;Ruido
ARABIA;Assistencia Virtual e Educacao
INDIA;Diagnostico e Protecao Fitossanitaria
PHILIPPINES;Assistencia Virtual e Educacao
SPAIN;Governanca, Gestao e Impacto Social
INDIA;Assistencia Virtual e Educacao
INDIA;Robotica e Mecanizacao
ENGLAND;Ruido
ITALY;Mercado Risco e Previsao
CHINA;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
INDIA;IoT e Sensores
CANADA;Diagnostico e Protecao Fitossanitaria
CHINA;Diagnostico e Protecao Fitossanitaria
EGYPT;Mercado Risco e Previsao
ARABIA;Governanca, Gestao e Impacto Social
PORTUGAL;Assistencia Virtual e Educacao
SWEDEN;IA: Arquiteturas e Metodos
GERMANY;Mercado Risco e Previsao
FRANCE;Assistencia Virtual e Educacao
JAPAN;Assistencia Virtual e Educacao
USA;IA: Arquiteturas e Metodos
ROMANIA;Cadeia Produtiva e Qualidade
CHINA;IoT e Sensores
THAILAND;Ruido
ENGLAND;Assistencia Virtual e Educacao
CHINA;Governanca, Gestao e Impacto Social
ARABIA;Robotica e Mecanizacao
ITALY;Assistencia Virtual e Educacao
ARABIA;Recursos Hidricos
INDIA;Assistencia Virtual e Educacao
BRAZIL;Cadeia Produtiva e Qualidade
AFRICA;Assistencia Virtual e Educacao
GREECE;Visao Computacional e Fenotipagem
INDIA;Assistencia Virtual e Educacao
JORDAN;Assistencia Virtual e Educacao
INDIA;Assistencia Virtual e Educacao
ITALY;Clima, Solo e Meio Ambiente
CHINA;Governanca, Gestao e Impacto Social
BRAZIL;Ruido
CHINA;Assistencia Virtual e Educacao
USA;Assistencia Virtual e Educacao
INDIA;Diagnostico e Protecao Fitossanitaria
DENMARK;Assistencia Virtual e Educacao
ROMANIA;Assistencia Virtual e Educacao
KOREA;Ruido
AUSTRIA;Assistencia Virtual e Educacao
INDIA;Diagnostico e Protecao Fitossanitaria
INDIA;Diagnostico e Protecao Fitossanitaria
ECUADOR;Assistencia Virtual e Educacao
TUNISIA;Assistencia Virtual e Educacao
ITALY;Assistencia Virtual e Educacao
INDIA;Assistencia Virtual e Educacao
USA;Assistencia Virtual e Educacao
INDIA;Assistencia Virtual e Educacao
KOREA;Visao Computacional e Fenotipagem
ZEALAND;Robotica e Mecanizacao
BRAZIL;Governanca, Gestao e Impacto Social
YEMEN;Robotica e Mecanizacao
TURKIYE;Assistencia Virtual e Educacao
THAILAND;Mercado Risco e Previsao
CANADA;Diagnostico e Protecao Fitossanitaria
MOROCCO;Assistencia Virtual e Educacao
CHINA;Mercado Risco e Previsao
JAPAN;Assistencia Virtual e Educacao
INDIA;Diagnostico e Protecao Fitossanitaria
CHINA;Diagnostico e Protecao Fitossanitaria
CHINA;Mercado Risco e Previsao
AUSTRIA;Assistencia Virtual e Educacao
ITALY;Assistencia Virtual e Educacao
USA;Assistencia Virtual e Educacao
INDIA;Clima, Solo e Meio Ambiente
GREECE;Robotica e Mecanizacao
MALAYSIA;Diagnostico e Protecao Fitossanitaria
TURKIYE;Robotica e Mecanizacao
RWANDA;Assistencia Virtual e Educacao
USA;Assistencia Virtual e Educacao
ETHIOPIA;Assistencia Virtual e Educacao
SPAIN;Visao Computacional e Fenotipagem
USA;Ruido
KENYA;Assistencia Virtual e Educacao
MOROCCO;Assistencia Virtual e Educacao
SPAIN;Mercado Risco e Previsao
CHINA;Assistencia Virtual e Educacao
SPAIN;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
INDIA;Diagnostico e Protecao Fitossanitaria
INDIA;Assistencia Virtual e Educacao
INDIA;Assistencia Virtual e Educacao
HUNGARY;IA: Arquiteturas e Metodos
IRAN;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
JAPAN;Assistencia Virtual e Educacao
CHINA;Recursos Hidricos
INDIA;Assistencia Virtual e Educacao
ARABIA;Assistencia Virtual e Educacao
JAPAN;IA: Arquiteturas e Metodos
INDIA;Assistencia Virtual e Educacao
GERMANY;IoT e Sensores
INDIA;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
GERMANY;Visao Computacional e Fenotipagem
CHINA;Assistencia Virtual e Educacao
INDIA;Assistencia Virtual e Educacao
ITALY;Assistencia Virtual e Educacao
MALAYSIA;Assistencia Virtual e Educacao
KOREA;Assistencia Virtual e Educacao
USA;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
LANKA;Robotica e Mecanizacao
ITALY;Robotica e Mecanizacao
HERCEG;Assistencia Virtual e Educacao
INDIA;Assistencia Virtual e Educacao
CHINA;Visao Computacional e Fenotipagem
ITALY;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
AFRICA;Diagnostico e Protecao Fitossanitaria
AUSTRALIA;Assistencia Virtual e Educacao
BRUNEI;Assistencia Virtual e Educacao
INDIA;Assistencia Virtual e Educacao
TAIWAN;Clima, Solo e Meio Ambiente
INDIA;Assistencia Virtual e Educacao
INDIA;Assistencia Virtual e Educacao
TURKIYE;Mercado Risco e Previsao
MALAYSIA;Robotica e Mecanizacao
SPAIN;Diagnostico e Protecao Fitossanitaria
USA;IA: Arquiteturas e Metodos
LEBANON;Mercado Risco e Previsao
Nao Informado;IA: Arquiteturas e Metodos
CANADA;Cadeia Produtiva e Qualidade
CHINA;Governanca, Gestao e Impacto Social
GREECE;Assistencia Virtual e Educacao
CHINA;Mercado Risco e Previsao
INDIA;Assistencia Virtual e Educacao
USA;IA: Arquiteturas e Metodos
INDIA;Assistencia Virtual e Educacao
MALAYSIA;Assistencia Virtual e Educacao
AFRICA;Assistencia Virtual e Educacao
BRAZIL;Assistencia Virtual e Educacao
SPAIN;Assistencia Virtual e Educacao
TURKIYE;Assistencia Virtual e Educacao
MOROCCO;Diagnostico e Protecao Fitossanitaria
REPUBLIC;Assistencia Virtual e Educacao
IRAN;IA: Arquiteturas e Metodos
TURKIYE;Clima, Solo e Meio Ambiente
INDIA;Assistencia Virtual e Educacao
BRAZIL;Clima, Solo e Meio Ambiente
EGYPT;Assistencia Virtual e Educacao
JAPAN;Ruido
INDIA;Assistencia Virtual e Educacao
SPAIN;Robotica e Mecanizacao
INDIA;Assistencia Virtual e Educacao
AFRICA;Governanca, Gestao e Impacto Social
INDIA;Mercado Risco e Previsao
CHINA;Assistencia Virtual e Educacao
CHINA;Visao Computacional e Fenotipagem
ARABIA;Assistencia Virtual e Educacao
CHINA;Mercado Risco e Previsao
INDIA;Diagnostico e Protecao Fitossanitaria
ITALY;Assistencia Virtual e Educacao
CHINA;IA: Arquiteturas e Metodos
SPAIN;IA: Arquiteturas e Metodos
INDIA;Ruido
USA;Assistencia Virtual e Educacao
CANADA;Governanca, Gestao e Impacto Social
PHILIPPINES;Assistencia Virtual e Educacao
INDIA;Assistencia Virtual e Educacao
CHINA;Diagnostico e Protecao Fitossanitaria
ITALY;Assistencia Virtual e Educacao
SWEDEN;Diagnostico e Protecao Fitossanitaria
USA;IA: Arquiteturas e Metodos
CHINA;Diagnostico e Protecao Fitossanitaria
LANKA;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
PHILIPPINES;Assistencia Virtual e Educacao
INDIA;Assistencia Virtual e Educacao
FRANCE;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
INDONESIA;Assistencia Virtual e Educacao
CHINA;Clima, Solo e Meio Ambiente
FINLAND;Assistencia Virtual e Educacao
PERU;Robotica e Mecanizacao
USA;Diagnostico e Protecao Fitossanitaria
USA;Mercado Risco e Previsao
ITALY;Clima, Solo e Meio Ambiente
INDIA;Assistencia Virtual e Educacao
TUNISIA;Assistencia Virtual e Educacao
CHINA;Visao Computacional e Fenotipagem
CHINA;Recursos Hidricos
INDIA;Mercado Risco e Previsao
ITALY;Assistencia Virtual e Educacao
ITALY;Assistencia Virtual e Educacao
ENGLAND;Cadeia Produtiva e Qualidade
Nao Informado;Ruido
USA;Clima, Solo e Meio Ambiente
CHINA;Assistencia Virtual e Educacao
DENMARK;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
INDIA;Assistencia Virtual e Educacao
GERMANY;IA: Arquiteturas e Metodos
IRAQ;Assistencia Virtual e Educacao
INDIA;Robotica e Mecanizacao
HONDURAS;Diagnostico e Protecao Fitossanitaria
ECUADOR;Assistencia Virtual e Educacao
GERMANY;Assistencia Virtual e Educacao
RUSSIA;Cadeia Produtiva e Qualidade
POLAND;Mercado Risco e Previsao
INDIA;Assistencia Virtual e Educacao
INDIA;Assistencia Virtual e Educacao
INDIA;Assistencia Virtual e Educacao
INDIA;Diagnostico e Protecao Fitossanitaria
SERBIA;Mercado Risco e Previsao
ITALY;Assistencia Virtual e Educacao
AFRICA;Assistencia Virtual e Educacao
TURKIYE;Assistencia Virtual e Educacao
AUSTRALIA;Visao Computacional e Fenotipagem
KAZAKHSTAN;Ruido
MEXICO;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
MALAWI;Assistencia Virtual e Educacao
INDIA;Assistencia Virtual e Educacao
COLOMBIA;Assistencia Virtual e Educacao
CHINA;Mercado Risco e Previsao
ARABIA;Assistencia Virtual e Educacao
INDIA;Assistencia Virtual e Educacao
SERBIA;Assistencia Virtual e Educacao
SPAIN;Clima, Solo e Meio Ambiente
INDIA;Assistencia Virtual e Educacao
CHINA;Governanca, Gestao e Impacto Social
CHINA;Diagnostico e Protecao Fitossanitaria
ARABIA;Assistencia Virtual e Educacao
MALAYSIA;Assistencia Virtual e Educacao
BELGIUM;Assistencia Virtual e Educacao
USA;Assistencia Virtual e Educacao
INDIA;Assistencia Virtual e Educacao
ITALY;Robotica e Mecanizacao
INDIA;Assistencia Virtual e Educacao
USA;IA: Arquiteturas e Metodos
USA;Mercado Risco e Previsao
CHINA;Diagnostico e Protecao Fitossanitaria
ENGLAND;Mercado Risco e Previsao
ARABIA;Assistencia Virtual e Educacao
USA;Assistencia Virtual e Educacao
BRAZIL;Diagnostico e Protecao Fitossanitaria
INDIA;Assistencia Virtual e Educacao
INDIA;Assistencia Virtual e Educacao
PORTUGAL;Clima, Solo e Meio Ambiente
VIETNAM;Clima, Solo e Meio Ambiente
CHINA;Assistencia Virtual e Educacao
SPAIN;IA: Arquiteturas e Metodos
USA;Governanca, Gestao e Impacto Social
INDIA;Robotica e Mecanizacao
ENGLAND;Assistencia Virtual e Educacao
KOREA;IoT e Sensores
CHINA;Assistencia Virtual e Educacao
MOROCCO;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
INDIA;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
INDIA;Assistencia Virtual e Educacao
USA;Assistencia Virtual e Educacao
INDIA;Assistencia Virtual e Educacao
CANADA;Assistencia Virtual e Educacao
CHINA;Diagnostico e Protecao Fitossanitaria
ITALY;Robotica e Mecanizacao
INDIA;Assistencia Virtual e Educacao
AUSTRIA;Assistencia Virtual e Educacao
ENGLAND;Cadeia Produtiva e Qualidade
KOREA;Assistencia Virtual e Educacao
ARABIA;Mercado Risco e Previsao
ITALY;Assistencia Virtual e Educacao
JAPAN;Robotica e Mecanizacao
USA;Assistencia Virtual e Educacao
THAILAND;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
PORTUGAL;IoT e Sensores
INDIA;Diagnostico e Protecao Fitossanitaria
HUNGARY;Assistencia Virtual e Educacao
FRANCE;Cadeia Produtiva e Qualidade
LANKA;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
INDIA;Assistencia Virtual e Educacao
USA;Assistencia Virtual e Educacao
TURKIYE;Mercado Risco e Previsao
WALES;Cadeia Produtiva e Qualidade
CANADA;Assistencia Virtual e Educacao
ROMANIA;Assistencia Virtual e Educacao
ARABIA;Assistencia Virtual e Educacao
VIETNAM;Assistencia Virtual e Educacao
TAIWAN;Clima, Solo e Meio Ambiente
PERU;Mercado Risco e Previsao
JORDAN;Assistencia Virtual e Educacao
INDIA;Mercado Risco e Previsao
JAPAN;Assistencia Virtual e Educacao
INDIA;IA: Arquiteturas e Metodos
CHINA;Assistencia Virtual e Educacao
USA;Visao Computacional e Fenotipagem
ENGLAND;Diagnostico e Protecao Fitossanitaria
AUSTRALIA;Cadeia Produtiva e Qualidade
CHINA;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
USA;Assistencia Virtual e Educacao
INDIA;Assistencia Virtual e Educacao
UKRAINE;Assistencia Virtual e Educacao
INDONESIA;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
TAIWAN;Mercado Risco e Previsao
ITALY;Assistencia Virtual e Educacao
ITALY;Diagnostico e Protecao Fitossanitaria
AUSTRALIA;Governanca, Gestao e Impacto Social
IRAN;Assistencia Virtual e Educacao
TURKIYE;Mercado Risco e Previsao
FRANCE;Assistencia Virtual e Educacao
EGYPT;Clima, Solo e Meio Ambiente
ARABIA;Robotica e Mecanizacao
FRANCE;Assistencia Virtual e Educacao
BRAZIL;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
VIETNAM;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
KOREA;Clima, Solo e Meio Ambiente
MALAYSIA;Diagnostico e Protecao Fitossanitaria
NETHERLANDS;Assistencia Virtual e Educacao
COLOMBIA;Assistencia Virtual e Educacao
CHINA;Robotica e Mecanizacao
SERBIA;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
AUSTRALIA;Assistencia Virtual e Educacao
USA;Clima, Solo e Meio Ambiente
MALAYSIA;Diagnostico e Protecao Fitossanitaria
INDIA;Assistencia Virtual e Educacao
PAKISTAN;Assistencia Virtual e Educacao
SPAIN;Mercado Risco e Previsao
INDIA;Visao Computacional e Fenotipagem
JORDAN;Assistencia Virtual e Educacao
FINLAND;Assistencia Virtual e Educacao
CHINA;Diagnostico e Protecao Fitossanitaria
JORDAN;Assistencia Virtual e Educacao
INDIA;Cadeia Produtiva e Qualidade
ALGERIA;Assistencia Virtual e Educacao
HUNGARY;Robotica e Mecanizacao
ARABIA;Assistencia Virtual e Educacao
ALGERIA;Assistencia Virtual e Educacao
ITALY;Assistencia Virtual e Educacao
INDIA;Visao Computacional e Fenotipagem
GREECE;Mercado Risco e Previsao
AUSTRALIA;Assistencia Virtual e Educacao
SWEDEN;Mercado Risco e Previsao
Nao Informado;Cadeia Produtiva e Qualidade
RUSSIA;Assistencia Virtual e Educacao
SUDAN;Assistencia Virtual e Educacao
INDONESIA;Assistencia Virtual e Educacao
INDIA;Clima, Solo e Meio Ambiente
ARGENTINA;Governanca, Gestao e Impacto Social
INDONESIA;Assistencia Virtual e Educacao
MOROCCO;Clima, Solo e Meio Ambiente
USA;IA: Arquiteturas e Metodos
CANADA;Governanca, Gestao e Impacto Social
SOMALIA;Assistencia Virtual e Educacao
ITALY;Assistencia Virtual e Educacao
CHINA;Mercado Risco e Previsao
ROMANIA;Assistencia Virtual e Educacao
LANKA;Assistencia Virtual e Educacao
USA;IA: Arquiteturas e Metodos
INDIA;IoT e Sensores
EGYPT;Visao Computacional e Fenotipagem
CHINA;Clima, Solo e Meio Ambiente
INDIA;Cadeia Produtiva e Qualidade
PORTUGAL;IA: Arquiteturas e Metodos
CHINA;Robotica e Mecanizacao
AUSTRALIA;Cadeia Produtiva e Qualidade
SPAIN;Assistencia Virtual e Educacao
USA;Assistencia Virtual e Educacao
INDIA;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
ENGLAND;Diagnostico e Protecao Fitossanitaria
PAKISTAN;Clima, Solo e Meio Ambiente
USA;Assistencia Virtual e Educacao
IRAQ;Assistencia Virtual e Educacao
INDIA;Assistencia Virtual e Educacao
SPAIN;IA: Arquiteturas e Metodos
KOREA;Visao Computacional e Fenotipagem
INDIA;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
USA;Mercado Risco e Previsao
FRANCE;Assistencia Virtual e Educacao
KOREA;Assistencia Virtual e Educacao
INDIA;Assistencia Virtual e Educacao
USA;Assistencia Virtual e Educacao
INDIA;Assistencia Virtual e Educacao
CHINA;Visao Computacional e Fenotipagem
USA;Assistencia Virtual e Educacao
SPAIN;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
JORDAN;Assistencia Virtual e Educacao
POLAND;Assistencia Virtual e Educacao
USA;Diagnostico e Protecao Fitossanitaria
CHINA;Governanca, Gestao e Impacto Social
PORTUGAL;Visao Computacional e Fenotipagem
USA;Assistencia Virtual e Educacao
USA;Cadeia Produtiva e Qualidade
IRAN;Assistencia Virtual e Educacao
PAKISTAN;Assistencia Virtual e Educacao
JAPAN;Assistencia Virtual e Educacao
CHILE;Assistencia Virtual e Educacao
CHINA;Clima, Solo e Meio Ambiente
GREECE;Assistencia Virtual e Educacao
GERMANY;Diagnostico e Protecao Fitossanitaria
GERMANY;Mercado Risco e Previsao
SINGAPORE;Diagnostico e Protecao Fitossanitaria
BANGLADESH;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
INDIA;Assistencia Virtual e Educacao
CHINA;Robotica e Mecanizacao
USA;IA: Arquiteturas e Metodos
SPAIN;Assistencia Virtual e Educacao
SWEDEN;Diagnostico e Protecao Fitossanitaria
ENGLAND;Assistencia Virtual e Educacao
CHINA;Mercado Risco e Previsao
MALAYSIA;Diagnostico e Protecao Fitossanitaria
USA;Assistencia Virtual e Educacao
CHINA;Diagnostico e Protecao Fitossanitaria
GREECE;Mercado Risco e Previsao
AUSTRALIA;Assistencia Virtual e Educacao
PORTUGAL;Visao Computacional e Fenotipagem
INDIA;Mercado Risco e Previsao
INDIA;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
KOREA;Assistencia Virtual e Educacao
ITALY;Assistencia Virtual e Educacao
USA;Assistencia Virtual e Educacao
SCOTLAND;Mercado Risco e Previsao
ENGLAND;Diagnostico e Protecao Fitossanitaria
INDIA;Assistencia Virtual e Educacao
INDIA;Assistencia Virtual e Educacao
GERMANY;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
GERMANY;Assistencia Virtual e Educacao
INDIA;Assistencia Virtual e Educacao
ARABIA;Mercado Risco e Previsao
BANGLADESH;Assistencia Virtual e Educacao
CHINA;Mercado Risco e Previsao
INDIA;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
CHINA;Diagnostico e Protecao Fitossanitaria
INDIA;Robotica e Mecanizacao
TURKEY;Recursos Hidricos
BRAZIL;Assistencia Virtual e Educacao
MEXICO;Assistencia Virtual e Educacao
Nao Informado;Mercado Risco e Previsao
WALES;Mercado Risco e Previsao
IRAN;Assistencia Virtual e Educacao
CHINA;Visao Computacional e Fenotipagem
INDIA;Assistencia Virtual e Educacao
THAILAND;Assistencia Virtual e Educacao
INDIA;Assistencia Virtual e Educacao
FINLAND;Assistencia Virtual e Educacao
INDIA;Assistencia Virtual e Educacao
TAIWAN;Assistencia Virtual e Educacao
CHINA;Cadeia Produtiva e Qualidade
USA;Diagnostico e Protecao Fitossanitaria
INDIA;Assistencia Virtual e Educacao
THAILAND;Assistencia Virtual e Educacao
INDIA;Diagnostico e Protecao Fitossanitaria
AUSTRALIA;Clima, Solo e Meio Ambiente
POLAND;Diagnostico e Protecao Fitossanitaria
BRAZIL;Diagnostico e Protecao Fitossanitaria
PAKISTAN;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
AUSTRALIA;Assistencia Virtual e Educacao
CHINA;Diagnostico e Protecao Fitossanitaria
USA;Assistencia Virtual e Educacao
INDIA;Assistencia Virtual e Educacao
USA;Assistencia Virtual e Educacao
IRAN;Assistencia Virtual e Educacao
AFRICA;Governanca, Gestao e Impacto Social
MALAYSIA;Assistencia Virtual e Educacao
USA;Assistencia Virtual e Educacao
ITALY;Cadeia Produtiva e Qualidade
BANGLADESH;Assistencia Virtual e Educacao
COLOMBIA;IA: Arquiteturas e Metodos
USA;Governanca, Gestao e Impacto Social
CHINA;Clima, Solo e Meio Ambiente
AUSTRALIA;Diagnostico e Protecao Fitossanitaria
BANGLADESH;Assistencia Virtual e Educacao
CHINA;IA: Arquiteturas e Metodos
INDIA;Mercado Risco e Previsao
USA;Governanca, Gestao e Impacto Social
ZAMBIA;Assistencia Virtual e Educacao
USA;Assistencia Virtual e Educacao
KOREA;Assistencia Virtual e Educacao
RUSSIA;Assistencia Virtual e Educacao
KOREA;Assistencia Virtual e Educacao
GREECE;Assistencia Virtual e Educacao
TURKIYE;Visao Computacional e Fenotipagem
AFRICA;Assistencia Virtual e Educacao
CHINA;Mercado Risco e Previsao
TURKIYE;Assistencia Virtual e Educacao
KOREA;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
ITALY;Assistencia Virtual e Educacao
ARABIA;Clima, Solo e Meio Ambiente
ARABIA;Assistencia Virtual e Educacao
IRAN;Assistencia Virtual e Educacao
EGYPT;Recursos Hidricos
KENYA;Assistencia Virtual e Educacao
TURKIYE;Assistencia Virtual e Educacao
USA;Robotica e Mecanizacao
RWANDA;Assistencia Virtual e Educacao
ITALY;IA: Arquiteturas e Metodos
IRAN;Recursos Hidricos
ROMANIA;Robotica e Mecanizacao
BRAZIL;Clima, Solo e Meio Ambiente
FRANCE;Visao Computacional e Fenotipagem
WALES;Ruido
TURKIYE;Assistencia Virtual e Educacao
INDIA;Assistencia Virtual e Educacao
ARABIA;Assistencia Virtual e Educacao
AUSTRALIA;IoT e Sensores
JORDAN;Assistencia Virtual e Educacao
JAPAN;Ruido
CHINA;Assistencia Virtual e Educacao
CHINA;Mercado Risco e Previsao
SLOVENIA;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
Nao Informado;Cadeia Produtiva e Qualidade
AUSTRALIA;Governanca, Gestao e Impacto Social
ITALY;Assistencia Virtual e Educacao
BRAZIL;Diagnostico e Protecao Fitossanitaria
USA;Assistencia Virtual e Educacao
KOREA;Robotica e Mecanizacao
TURKIYE;Robotica e Mecanizacao
INDIA;Mercado Risco e Previsao
ROMANIA;Diagnostico e Protecao Fitossanitaria
CHINA;Visao Computacional e Fenotipagem
MALAYSIA;Assistencia Virtual e Educacao
MOROCCO;Diagnostico e Protecao Fitossanitaria
FRANCE;Robotica e Mecanizacao
EGYPT;Robotica e Mecanizacao
ITALY;IA: Arquiteturas e Metodos
SCOTLAND;Robotica e Mecanizacao
KOREA;Assistencia Virtual e Educacao
CHINA;Assistencia Virtual e Educacao
INDIA;Governanca, Gestao e Impacto Social
VIETNAM;Visao Computacional e Fenotipagem
TURKIYE;Assistencia Virtual e Educacao
INDIA;Assistencia Virtual e Educacao
KOREA;Assistencia Virtual e Educacao
EMIRATES;Cadeia Produtiva e Qualidade
IRAN;Cadeia Produtiva e Qualidade
AUSTRIA;Assistencia Virtual e Educacao
COLOMBIA;Diagnostico e Protecao Fitossanitaria
POLAND;Assistencia Virtual e Educacao
ARABIA;Assistencia Virtual e Educacao
USA;Visao Computacional e Fenotipagem
CHINA;Assistencia Virtual e Educacao
CHINA;Clima, Solo e Meio Ambiente
INDIA;Mercado Risco e Previsao
JAPAN;Mercado Risco e Previsao
AUSTRALIA;Assistencia Virtual e Educacao
GREECE;Assistencia Virtual e Educacao
TOGO;Mercado Risco e Previsao
BRAZIL;IoT e Sensores
